city,temp,time
London,,Mon 7:00 PM
Paris,,Mon 8:00 PM
Moscow,,Mon 9:00 PM
Abu Dhabi,,Mon 10:00 PM
Islamabad,,Mon 11:00 PM
Dhaka,,Tue 12:00 AM
Bangkok,,Tue 1:00 AM
Taipei,,Tue 2:00 AM
Tokyo,,Tue 3:00 AM
Canberra,,Tue 4:00 AM
Palikir,,Tue 5:00 AM
Wellington,,Tue 6:00 AM
Alofi,,Mon 7:00 AM
Rarotonga,,Mon 8:00 AM
Adamstown,,Mon 10:00 AM
San Francisco,,Mon 11:00 PM
Denver,,Mon 12:00 PM
Chicago,,Mon 1:00 PM
New York,,Mon 2:00 PM
Buenos Aires,,Mon 3:00 PM
King Edward Point,,Mon 4:00 PM
Praia,,Mon 5:00 PM
Reykjavik,,Mon 6:00 PM
